Pitch,Voiced/Unvoiced
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
89.29,1
138.89,1
121.95,1
200.0,1
200.0,1
208.33,1
208.33,1
208.33,1
116.28,1
178.57,1
106.38,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
178.57,1
172.41,1
172.41,1
151.52,1
131.58,1
125.0,1
121.95,1
80.65,1
87.72,1
119.05,1
106.38,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
106.38,1
178.57,1
238.1,1
227.27,1
217.39,1
227.27,1
250.0,1
263.16,1
263.16,1
238.1,1
250.0,1
238.1,1
238.1,1
238.1,1
161.29,1
217.39,1
128.21,1
172.41,1
185.19,1
151.52,1
125.0,1
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
