,Pitch,Voiced/Unvoiced
0,0.0,0
1,0.0,0
2,0.0,0
3,0.0,0
4,0.0,0
5,0.0,0
6,0.0,0
7,0.0,0
8,0.0,0
9,0.0,0
10,0.0,0
11,0.0,0
12,0.0,0
13,0.0,0
14,0.0,0
15,0.0,0
16,0.0,0
17,0.0,0
18,0.0,0
19,0.0,0
20,0.0,0
21,0.0,0
22,89.29,1
23,138.89,1
24,121.95,1
25,200.0,1
26,200.0,1
27,208.33,1
28,208.33,1
29,208.33,1
30,116.28,1
31,178.57,1
32,106.38,1
33,0.0,0
34,0.0,0
35,0.0,0
36,0.0,0
37,0.0,0
38,0.0,0
39,0.0,0
40,0.0,0
41,0.0,0
42,0.0,0
43,0.0,0
44,178.57,1
45,172.41,1
46,172.41,1
47,151.52,1
48,131.58,1
49,125.0,1
50,121.95,1
51,80.65,1
52,87.72,1
53,119.05,1
54,106.38,1
55,0.0,0
56,0.0,0
57,0.0,0
58,0.0,0
59,0.0,0
60,0.0,0
61,0.0,0
62,0.0,0
63,0.0,0
64,0.0,0
65,0.0,0
66,0.0,0
67,0.0,0
68,0.0,0
69,0.0,0
70,0.0,0
71,106.38,1
72,178.57,1
73,238.1,1
74,227.27,1
75,217.39,1
76,227.27,1
77,250.0,1
78,263.16,1
79,263.16,1
80,238.1,1
81,250.0,1
82,238.1,1
83,238.1,1
84,238.1,1
85,161.29,1
86,217.39,1
87,128.21,1
88,172.41,1
89,185.19,1
90,151.52,1
91,125.0,1
92,0.0,0
93,0.0,0
94,0.0,0
95,0.0,0
96,0.0,0
97,0.0,0
98,0.0,0
99,0.0,0
